Issue_ID,Content_ID,Issue_Type,Field,Issue_Description,Severity,Status
QA001-40,041.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-41,042.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-42,043.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-43,044.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-44,045.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-45,046.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-46,047.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-47,048.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-48,049.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA001-49,050.txt,Missing Title,title,Page title is missing after migration.,High,Open
QA002-0,001.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-1,002.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-2,003.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-3,004.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-4,005.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-5,006.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-6,007.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-7,008.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-8,009.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA002-9,010.txt,Missing Metadata,category,Content category metadata is missing.,High,Open
QA003-10,011.txt,Invalid Category Mapping,category,Category value 'biz' does not match approved metadata values.,Medium,Open
QA003-11,012.txt,Invalid Category Mapping,category,Category value 'biz' does not match approved metadata values.,Medium,Open
QA003-12,013.txt,Invalid Category Mapping,category,Category value 'biz' does not match approved metadata values.,Medium,Open
QA003-13,014.txt,Invalid Category Mapping,category,Category value 'biz' does not match approved metadata values.,Medium,Open
QA003-14,015.txt,Invalid Category Mapping,category,Category value 'biz' does not match approved metadata values.,Medium,Open
